TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
PLAS3;8,25;;-0,84;-0,33;0,17;7,56;-6,67;-19,95;-2,51;-6,96;-4,46;;0,17;-0,40;-0,24;0,44;-39,25;-19,76;35,02;-0,50;1,50;0,99;11,76;;10.377,40;-25,07;-9,84;-0,19;102.509.698,50
PLPL3;2,84;6,90;4,29;1,83;0,46;31,21;12,88;10,63;3,54;4,24;0,70;0,36;0,46;0,64;-4,66;4,78;42,58;10,65;18,94;0,25;0,75;1,00;;;2.864.944,43;1,55;0,66;1,97;580.087.040,00
PMAM3;8,30;;-0,45;-0,38;0,12;-0,14;-6,95;-16,99;-1,10;-10,84;-9,74;;0,08;-8,80;-0,18;0,96;-83,97;-26,12;-14,69;-0,31;1,31;1,54;0,55;;1.944.306,93;-21,98;-18,46;0,06;360.251.946,70
PNVL3;11,99;1,46;22,70;1,72;0,76;30,65;3,15;2,46;17,76;22,50;4,74;0,46;0,56;3,11;-1,83;1,71;7,59;3,34;5,63;0,44;0,56;1,35;8,67;8,40;7.758.745,70;6,96;0,53;0,55;1.803.025.997,19
PNVL4;18,62;0,21;35,25;2,68;1,18;30,65;3,15;2,46;27,58;22,50;4,74;0,46;0,87;4,83;-2,84;1,71;7,59;3,34;5,63;0,44;0,56;1,35;8,67;8,40;83.188,67;6,96;0,53;0,85;1.803.025.997,19
POMO3;2,31;4,63;5,97;0,74;0,33;10,18;6,52;10,48;9,59;15,03;4,38;0,34;0,63;1,63;-0,67;1,66;12,40;5,51;3,86;0,44;0,56;0,53;6,33;10,82;427.883,80;3,12;0,39;0,02;2.429.429.412,62
POMO4;2,71;3,95;7,00;0,87;0,39;10,18;6,52;10,48;11,25;15,03;4,38;0,34;0,73;1,91;-0,78;1,66;12,40;5,51;3,86;0,44;0,56;0,53;6,33;10,82;15.863.344,50;3,12;0,39;0,03;2.429.429.412,62
PORT3;55,89;;18,98;1,73;0,71;45,50;24,67;10,06;7,74;11,99;4,26;0,95;1,91;28,57;-0,85;1,19;9,13;3,76;7,59;0,41;0,59;0,37;6,17;-5,97;3.363.984,40;32,25;2,95;0,21;4.081.205.169,00
POSI3;8,11;4,20;5,74;0,97;0,31;22,84;9,01;5,95;3,79;5,58;1,79;0,46;0,34;0,97;-1,81;1,61;16,95;5,33;14,30;0,31;0,69;0,90;14,02;86,66;23.672.266,73;8,33;1,41;1,18;1.149.998.000,00
POWE3;10,90;0,49;23,92;0,99;0,38;6,82;3,52;2,59;17,55;10,60;-6,96;-0,39;0,62;6,57;-0,74;1,13;4,13;1,58;3,81;0,38;0,62;0,61;;;5.388.846,38;11,02;0,46;-1,77;977.237.930,40
PPAR3;14,60;;-54,02;0,02;0,01;;;;-6,97;8,13;15,10;-0,04;;0,44;-0,01;2.474,00;-0,04;-0,03;-0,29;0,71;0,29;0,00;;;;724,23;-0,27;0,68;1.080.400,00
